group_id,generation,class_code,group_number,n_members,online_ratio,master_ratio,major_diversity,leave_rate,exc_rate,point_mean,point_sum,months,pred_point_mean_oof,pred_point_mean_full,pred_leave_prob,pred_leave_prob_full,pred_exc_prob,pred_exc_prob_full
11_15_1,11,15,1,3,1.0,0.3333333333333333,1.0,0.3333333333333333,0.0,3.0666666666666664,9.2,3.0,0.5680302629469298,1.2088410063701722,0.40360884821562487,0.4348672690310744,0.08354497644372826,0.0744420670724461
11_15_2,11,15,2,3,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,2.1,6.300000000000001,3.0,3.3457940898607585,2.5982944840653186,0.26413490435272813,0.2516787673826529,0.1546792439276715,0.14534708027886672
11_16_2,11,16,2,2,0.0,0.5,1.0,0.0,0.0,2.466666666666667,7.4,3.0,2.220785191043527,2.1900564028563996,0.2420774763769351,0.19676203998962366,0.10328214296249791,0.07478008838087707
11_16_3,11,16,3,3,1.0,0.3333333333333333,1.0,0.0,0.0,-0.7333333333333334,-2.2,3.0,1.5163927388969045,1.1429759462759463,0.31535760624300324,0.31162669694705847,0.1416320683402936,0.10869767030223225
11_17_1,11,17,1,5,0.0,0.2,1.0,0.0,0.0,2.5333333333333337,7.6000000000000005,3.0,2.9036542528459206,2.655045711695711,0.3217728585584845,0.2609471709971768,0.15781851621302717,0.12338209866874057
11_1_1,11,1,1,4,1.0,0.25,1.0,0.25,0.0,3.0,9.0,3.0,1.4820442981401332,2.094854481321147,0.43964756313388476,0.48331335797349173,0.07845991703985983,0.060869647318062624
11_1_2,11,1,2,2,1.0,0.5,1.0,1.0,0.0,2.6,7.800000000000001,3.0,0.5409985670194002,1.2895551366843023,0.47005664407856257,0.5700556515191912,0.07889557326545804,0.055785617275776675
11_1_3,11,1,3,4,1.0,0.25,1.0,0.5,0.0,0.5666666666666667,1.7,3.0,2.200907056677885,1.449790013227513,0.5228142264694597,0.5497593626604194,0.08367748183479068,0.0664577460681646
11_1_4,11,1,4,4,0.0,0.25,1.0,0.0,0.0,2.3333333333333335,7.0,3.0,2.617490813892895,2.3657363879947217,0.3728297818863049,0.33147489931386687,0.08617554225640586,0.06926872070896797
11_22_1,11,22,1,2,1.0,0.5,1.0,1.0,0.0,0.39999999999999997,1.2,3.0,1.3382814919648252,1.0937059964726625,0.44213203107067256,0.512990022099029,0.08060614007741199,0.06667792394028826
11_2_2,11,2,2,5,1.0,0.2,1.0,0.0,0.0,3.0,9.0,3.0,2.953562836700332,2.7702721577804907,0.4359007320899512,0.38410403713282754,0.0955554021816846,0.08362747173401762
11_2_3,11,2,3,6,0.0,0.16666666666666666,1.0,0.0,0.0,4.0,12.0,3.0,2.2744521110062763,2.9686843869093886,0.27350782556427844,0.2795966152264043,0.1311603341948117,0.12471997982503193
11_2_4,11,2,4,4,0.0,0.25,1.0,0.0,0.0,2.3333333333333335,7.0,3.0,2.837017372134034,2.5639577538202527,0.307006788766909,0.2860448938578838,0.08370608179091413,0.08858841498311018
11_2_5,11,2,5,5,0.0,0.2,1.0,0.0,0.0,3.1999999999999997,9.6,3.0,2.9406206990540342,2.974813135321469,0.32410100114731766,0.3127972053471412,0.09111113450547384,0.10506135490550986
11_2_6,11,2,6,5,0.0,0.2,1.0,0.0,0.0,2.6,7.8,3.0,2.9406206990540342,2.974813135321469,0.3224476123762322,0.3118844827401601,0.1130581577552621,0.10564769703298113
11_2_7,11,2,7,4,1.0,0.25,1.0,0.0,0.0,2.6333333333333333,7.9,3.0,3.4149743686868645,2.907376142067808,0.4057447748407001,0.40959816959957274,0.10833625742420246,0.11187882821513338
11_2_9,11,2,9,3,1.0,0.0,1.0,1.0,0.0,-0.3666666666666667,-1.1,3.0,1.137393177809846,0.6948138888888893,0.3436640029031026,0.47516555456521187,0.08004382923861024,0.07985817552572494
11_3_1,11,3,1,4,0.0,0.25,0.75,0.0,0.0,6.0,18.0,3.0,2.4883124865874886,3.695857038640373,0.19203284055749886,0.1851834726910857,0.07163985188776784,0.04833071182868827
11_3_2,11,3,2,3,0.0,0.3333333333333333,1.0,0.0,0.0,2.8666666666666667,8.6,3.0,2.10123010060927,2.3586624394124347,0.18224195528626638,0.17350698350203983,0.04743668238409904,0.046474369434260976
11_3_3,11,3,3,3,1.0,0.3333333333333333,1.0,0.0,0.0,2.6666666666666665,8.0,3.0,1.6783702741702726,1.4056509852801509,0.1970008892726424,0.18768310882627856,0.049273958858672494,0.04270052037640018
11_3_4,11,3,4,3,0.0,0.3333333333333333,1.0,0.0,0.0,0.7333333333333334,2.2,3.0,2.951392822069907,2.3586624394124347,0.18145510626275121,0.15809083530135026,0.1153946061725818,0.08754462661564548
11_4_1,11,4,1,5,0.0,0.2,1.0,0.2,0.0,4.666666666666667,14.0,3.0,3.631222630147632,4.0990615503323795,0.2623279714159292,0.26795501386983445,0.09573332579098107,0.08029876262295317
11_4_10,11,4,10,6,1.0,0.16666666666666666,1.0,0.0,0.0,0.7333333333333334,2.2,3.0,3.063833277216606,2.092746249892082,0.37343981844707397,0.35932801880653664,0.07010840312892902,0.051666598902065736
11_4_11,11,4,11,3,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.7333333333333334,2.2,3.0,3.1155646204104586,2.0946305956389275,0.28831599954797477,0.3323571257749893,0.07531980073918625,0.07665826283577414
